pool_rank,proposed_meal_name,review_status,provider,source_title,source_page_url,original_url,thumbnail_url,creator,credit,license,license_url,attribution_required,width,height,description,catalogue_fit_notes
1,Adobo Filipino style,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Adobo Filipino style.jpg,https://commons.wikimedia.org/wiki/File:Adobo_Filipino_style.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Adobo_Filipino_style.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/da/Adobo_Filipino_style.jpg/960px-Adobo_Filipino_style.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chammy17,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,5184,3456,Adobo Filipino style,
2,Adobong Manok with Laurel leaves,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Adobong Manok with Laurel leaves.jpg,https://commons.wikimedia.org/wiki/File:Adobong_Manok_with_Laurel_leaves.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Adobong_Manok_with_Laurel_leaves.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/Adobong_Manok_with_Laurel_leaves.jpg/960px-Adobong_Manok_with_Laurel_leaves.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,4000,6000,Adobong Manok with laurel leaves,
3,ADOBONG MANOK SA SARSA,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:ADOBONG MANOK SA SARSA.jpg,https://commons.wikimedia.org/wiki/File:ADOBONG_MANOK_SA_SARSA.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/ADOBONG_MANOK_SA_SARSA.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5a/ADOBONG_MANOK_SA_SARSA.jpg/960px-ADOBONG_MANOK_SA_SARSA.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Squatic,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,5168,3448,Adobong Manok sa Sarsa is a filipino native dish. Sarsa makes the taste different from normal adobong manok pinoy recipe. So yummy...,
4,Bacolod Inasal,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Bacolod Inasal.jpg,https://commons.wikimedia.org/wiki/File:Bacolod_Inasal.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Bacolod_Inasal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/Bacolod_Inasal.jpg/960px-Bacolod_Inasal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,EMMAN A. FORONDA,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,1800,1370,"Bacolod Inasal is different from regular grilled chicken because of its unique marinade, which includes citrusy and savory flavors that infuse the chicken with a distinct taste.",
5,Beef bulalo meal,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Beef bulalo meal.jpg,https://commons.wikimedia.org/wiki/File:Beef_bulalo_meal.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Beef_bulalo_meal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a5/Beef_bulalo_meal.jpg/960px-Beef_bulalo_meal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chammy17,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,4624,2608,Beef bulalo meal,
6,Beef Caldereta,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Beef Caldereta.jpg,https://commons.wikimedia.org/wiki/File:Beef_Caldereta.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/Beef_Caldereta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/Beef_Caldereta.jpg/960px-Beef_Caldereta.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Louiesemendez,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3264,4896,Beef caldereta for new year's eve.,
7,Beef Kare-Kare 01,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Beef Kare-Kare 01.jpg,https://commons.wikimedia.org/wiki/File:Beef_Kare-Kare_01.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Beef_Kare-Kare_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/Beef_Kare-Kare_01.jpg/960px-Beef_Kare-Kare_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,6000,4000,Beef Kare-Kare,
8,Beef Pares,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Beef Pares.jpg,https://commons.wikimedia.org/wiki/File:Beef_Pares.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Beef_Pares.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9c/Beef_Pares.jpg/960px-Beef_Pares.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,JeffDelfin45,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,1280,1280,Beef Pares are cubed beef briskets cooked with spices and tenderised to perfection.,
9,Beef salpicao,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Beef salpicao.jpg,https://commons.wikimedia.org/wiki/File:Beef_salpicao.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Beef_salpicao.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5d/Beef_salpicao.jpg/960px-Beef_salpicao.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chammy17,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3472,4624,Beef salpicao at Biggs diner naga city camarines sur,
10,Beef steak and sunny side up,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Beef steak and sunny side up.jpg,https://commons.wikimedia.org/wiki/File:Beef_steak_and_sunny_side_up.jpg,https://upload.wikimedia.org/wikipedia/commons/0/07/Beef_steak_and_sunny_side_up.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/Beef_steak_and_sunny_side_up.jpg/960px-Beef_steak_and_sunny_side_up.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chammy17,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,4624,3468,Beef steak and sunny side up Plating contest,
11,Beef Tapa with Egg,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Beef Tapa with Egg.jpg,https://commons.wikimedia.org/wiki/File:Beef_Tapa_with_Egg.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Beef_Tapa_with_Egg.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7e/Beef_Tapa_with_Egg.jpg/960px-Beef_Tapa_with_Egg.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Maffeth.opiana,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3700,2807,Beef Tapa with Egg,
12,Bikol home made ginataang laing,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Bikol home made ginataang laing.jpg,https://commons.wikimedia.org/wiki/File:Bikol_home_made_ginataang_laing.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Bikol_home_made_ginataang_laing.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ab/Bikol_home_made_ginataang_laing.jpg/960px-Bikol_home_made_ginataang_laing.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chammy17,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,2608,4624,Bikol home made ginataang laing,
13,Chicken Ala max,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken Ala max.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Ala_max.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Chicken_Ala_max.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ac/Chicken_Ala_max.jpg/960px-Chicken_Ala_max.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Louiesemendez,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,4896,3264,"Chicken ala max is a fried whole chicken with sweet potatoes, can be ordered at Foodies Hive on Facebook.",
14,Chicken Cordon Bleu with Creamy Cheese Sauce,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken Cordon Bleu with Creamy Cheese Sauce.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Cordon_Bleu_with_Creamy_Cheese_Sauce.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Chicken_Cordon_Bleu_with_Creamy_Cheese_Sauce.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ef/Chicken_Cordon_Bleu_with_Creamy_Cheese_Sauce.jpg/960px-Chicken_Cordon_Bleu_with_Creamy_Cheese_Sauce.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,ShmilyDigital,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,6000,4000,Chicken cordon bleu serve with a bowl of creamy cheese cauce,
15,Chicken grilled meal,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken grilled meal.jpg,https://commons.wikimedia.org/wiki/File:Chicken_grilled_meal.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Chicken_grilled_meal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/81/Chicken_grilled_meal.jpg/960px-Chicken_grilled_meal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Chammy17,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3468,4624,Chicken grilled meal,
16,Chicken Hamonado,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken Hamonado.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Hamonado.jpg,https://upload.wikimedia.org/wikipedia/commons/4/44/Chicken_Hamonado.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/44/Chicken_Hamonado.jpg/960px-Chicken_Hamonado.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Louiesemendez,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,4896,3264,Chicken Hamonado for lunch.,
17,Chicken Menudo,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken Menudo.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Menudo.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Chicken_Menudo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d3/Chicken_Menudo.jpg/960px-Chicken_Menudo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Anneclicks,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3237,2448,"One of my party staples is chicken menudo. Not only is it perfect for everyday family dinners, but it's also economical to make for a large gathering.",
18,Chicken Ngohiong,NEEDS_VISUAL_AND_CATALOGUE_REVIEW,WIKIMEDIA_COMMONS,File:Chicken Ngohiong.jpg,https://commons.wikimedia.org/wiki/File:Chicken_Ngohiong.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Chicken_Ngohiong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/80/Chicken_Ngohiong.jpg/960px-Chicken_Ngohiong.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,KDCwrites,Own work,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,true,3024,4032,Chicken Ngohiong is like the Filipino’s famous lumpia that has shredded chicken and vegetables wrapped in lumpia wrapper and deep fried then served as an appetizer.,
