meal_name,meal_type,asset_key,fallback_category,preferred_search_query,assignment_status,selected_source_page_url,selected_source_title,display_label_when_representative,review_notes
Scrambled Egg and Rice Plate,BREAKFAST,meal/scrambled-egg-and-rice-plate,poultry-and-egg,egg rice Filipino food,UNASSIGNED,,,Representative image,
"Pandesal, Egg and Tomato Breakfast",BREAKFAST,meal/pandesal-egg-and-tomato-breakfast,poultry-and-egg,pandesal Filipino bread,UNASSIGNED,,,Representative image,
Banana Peanut Butter Oatmeal,BREAKFAST,meal/banana-peanut-butter-oatmeal,breakfast,oatmeal bowl food,UNASSIGNED,,,Representative image,
Papaya Milk Oatmeal,BREAKFAST,meal/papaya-milk-oatmeal,breakfast,oatmeal bowl food,UNASSIGNED,,,Representative image,
Tuna Pandesal Sandwich,BREAKFAST,meal/tuna-pandesal-sandwich,seafood,pandesal Filipino bread,UNASSIGNED,,,Representative image,
Tofu Tomato Breakfast Rice Bowl,BREAKFAST,meal/tofu-tomato-breakfast-rice-bowl,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Sardines and Rice Breakfast Plate,BREAKFAST,meal/sardines-and-rice-breakfast-plate,seafood,sardines rice Filipino food,UNASSIGNED,,,Representative image,
Sweet Potato and Egg Plate,BREAKFAST,meal/sweet-potato-and-egg-plate,poultry-and-egg,egg rice Filipino food,UNASSIGNED,,,Representative image,
Corn and Egg Breakfast Bowl,BREAKFAST,meal/corn-and-egg-breakfast-bowl,poultry-and-egg,egg rice Filipino food,UNASSIGNED,,,Representative image,
Peanut Butter Pandesal with Apple,BREAKFAST,meal/peanut-butter-pandesal-with-apple,breakfast,pandesal Filipino bread,UNASSIGNED,,,Representative image,
Sweet Potato Banana Breakfast Bowl,BREAKFAST,meal/sweet-potato-banana-breakfast-bowl,breakfast,sweet potato meal food,UNASSIGNED,,,Representative image,
Corn Papaya Breakfast Bowl,BREAKFAST,meal/corn-papaya-breakfast-bowl,breakfast,corn meal food,UNASSIGNED,,,Representative image,
Tofu Potato Tomato Breakfast,BREAKFAST,meal/tofu-potato-tomato-breakfast,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Chicken Rice and Pechay Bowl,LUNCH,meal/chicken-rice-and-pechay-bowl,poultry-and-egg,chicken rice bowl food,UNASSIGNED,,,Representative image,
Beef Rice Bowl with Cabbage,LUNCH,meal/beef-rice-bowl-with-cabbage,red-meat,beef rice bowl food,UNASSIGNED,,,Representative image,
Pork Rice Bowl with Carrots,LUNCH,meal/pork-rice-bowl-with-carrots,red-meat,pork rice bowl food,UNASSIGNED,,,Representative image,
Grilled Milkfish Rice Plate,LUNCH,meal/grilled-milkfish-rice-plate,seafood,bangus Filipino food,UNASSIGNED,,,Representative image,
Tilapia Rice and Fresh Vegetable Plate,LUNCH,meal/tilapia-rice-and-fresh-vegetable-plate,seafood,tilapia Filipino food,UNASSIGNED,,,Representative image,
Tuna Cucumber Rice Bowl,LUNCH,meal/tuna-cucumber-rice-bowl,seafood,tuna rice bowl food,UNASSIGNED,,,Representative image,
"Munggo, Kangkong and Rice Bowl",LUNCH,meal/munggo-kangkong-and-rice-bowl,plant-based,ginisang munggo Filipino food,UNASSIGNED,,,Representative image,
Tofu Vegetable Rice Bowl,LUNCH,meal/tofu-vegetable-rice-bowl,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
"Sardines, Pechay and Rice Bowl",LUNCH,meal/sardines-pechay-and-rice-bowl,seafood,sardines rice Filipino food,UNASSIGNED,,,Representative image,
Chicken Potato and Carrot Bowl,LUNCH,meal/chicken-potato-and-carrot-bowl,poultry-and-egg,chicken rice bowl food,UNASSIGNED,,,Representative image,
Tofu Pechay Potato Bowl,LUNCH,meal/tofu-pechay-potato-bowl,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
Munggo Cabbage Vegetable Bowl,LUNCH,meal/munggo-cabbage-vegetable-bowl,plant-based,ginisang munggo Filipino food,UNASSIGNED,,,Representative image,
Corn Tofu Vegetable Bowl,LUNCH,meal/corn-tofu-vegetable-bowl,plant-based,tofu rice bowl food,UNASSIGNED,,,Representative image,
