priority,photo_subject,coverage_group,consumption_anchor,evidence_tier,image_status,selected_source_page_url,review_notes
1,Steamed white rice,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
2,Garlic fried rice,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
3,Plain fried rice,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
4,Egg fried rice,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
5,Rice with soy sauce,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
6,Arroz caldo,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
7,Chicken lugaw,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
8,Goto rice porridge,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
9,Champorado,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
10,Instant noodles with egg,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
11,Pancit canton with vegetables,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
12,Pancit bihon,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
13,Filipino-style spaghetti,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
14,Pandesal,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
15,Pande monay,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
16,Steamed corn,rice-and-staples,rice; pandesal; pande monay; instant noodles; corn,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
17,Fried egg,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
18,Scrambled eggs,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
19,Boiled egg,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
20,Plain omelette,egg-and-breakfast,chicken egg; pandesal; hotdog,FNRI_ANCHORED_DERIVATION,IMAGE_SEARCH_PENDING,,
